Location,locationName,locationUsage,Inactive,Location_Type,Primary_Address
L-ISU-235-17597,0484 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0484 Town Engr
L-ISU-580-3855,0485 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0485 Carver
L-ISU-534-5087,0485 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0485 Design
L-ISU-270-15710,0485 SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485 Science
L-ISU-270-15711,0485A SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485A Science
L-ISU-270-21875,0485AA SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485AA Science
L-ISU-270-21877,0485AB SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485AB Science
L-ISU-270-15712,0485B SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485B Science
L-ISU-270-15713,0485BA SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485BA Science
L-ISU-270-15714,0485BB SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485BB Science
L-ISU-270-15715,0485BC SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485BC Science
L-ISU-270-15716,0485BD SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0485BD Science
L-ISU-625-3103,0486 BESSEY - Bessey Hall,Business Asset,0,Other,0486 Bessey
L-ISU-580-3856,0486 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0486 Carver
L-ISU-534-5088,0486 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0486 Design
L-ISU-270-15717,0486 SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0486 Science
L-ISU-235-17598,0486 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0486 Town Engr
L-ISU-625-3104,0487 BESSEY - Bessey Hall,Business Asset,0,Other,0487 Bessey
L-ISU-580-3857,0487 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0487 Carver
L-ISU-534-5089,0487 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0487 Design
L-ISU-376-29672,0487 LIBRARY - Parks Library,Business Asset,0,,0487 Parks Library
L-ISU-270-15718,0487 SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0487 Science
L-ISU-235-17599,0487 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0487 Town Engr
L-ISU-270-15719,0487A SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0487A Science
L-ISU-270-15720,0487B SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0487B Science
L-ISU-270-15721,0487C SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0487C Science
L-ISU-580-3858,0488 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0488 Carver
L-ISU-534-5090,0488 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0488 Design
L-ISU-376-29658,0488 LIBRARY - Parks Library,Business Asset,0,Other,0488 Parks Library
L-ISU-270-15722,0488 SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0488 Science
L-ISU-235-17600,0488 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0488 Town Engr
L-ISU-270-15723,0488A SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0488A Science
L-ISU-270-15724,0488B SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0488B Science
L-ISU-270-15725,0488C SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0488C Science
L-ISU-625-3070,0489 BESSEY - Bessey Hall,Business Asset,0,Other,0489 Bessey
L-ISU-580-3859,0489 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0489 Carver
L-ISU-534-5091,0489 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0489 Design
L-ISU-471-8195,0489 HILTON - Hilton Coliseum,Business Asset,0,Other,0489 Hilton
L-ISU-376-29673,0489 LIBRARY - Parks Library,Business Asset,0,Other,0489 Parks Library
L-ISU-270-15726,0489 SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0489 Science
L-ISU-580-3860,0490 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0490 Carver
L-ISU-534-5092,0490 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0490 Design
L-ISU-270-15727,0490 SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0490 Science
L-ISU-235-17601,0490 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0490 Town Engr
L-ISU-534-5093,0491 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0491 Design
L-ISU-471-8196,0491 HILTON - Hilton Coliseum,Business Asset,0,Other,0491 Hilton
L-ISU-269-22505,0491 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Other,0491 Science 2
L-ISU-580-3861,0492 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0492 Carver
L-ISU-534-5094,0492 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0492 Design
L-ISU-269-22506,0492 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Other,0492 Science 2
L-ISU-270-15728,0492 SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0492 Science
L-ISU-235-17602,0492 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0492 Town Engr
L-ISU-534-5095,0493 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0493 Design
L-ISU-235-17603,0493 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0493 Town Engr
L-ISU-580-3862,0494 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0494 Carver
L-ISU-235-17604,0494 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0494 Town Engr
L-ISU-580-3863,0495 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0495 Carver
L-ISU-534-5096,0495 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0495 Design
L-ISU-270-21681,0495 SCIENCE - Science Hall,Business Asset,0,Other,0495 Science
L-ISU-235-17605,0495 TOWN - Town Engineering Building,Business Asset,0,,0495 Town Engr
L-ISU-580-22524,0495A CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0495A Carver
L-ISU-235-17606,0495A TOWN - Town Engineering Building,Business Asset,0,Other,0495A Town Engr
